"","BootcampName","V1","bootcampfreq$freq"
"1","10x.org.il",0.714285714285714,7
"2","4Geeks Academy",0.875,16
"3","Academia de CÃ³digo",0.6,5
"4","Academic Work Academy",0.75,8
"5","Academy Pittsburgh",1,2
"6","Academy X",0.5,2
"7","Ace Hacker Academy",1,1
"8","Ada",1,3
"9","AIT Learning",1,1
"10","American Graphics Institute",1,2
"11","AngelHack Education",0.5,2
"12","Anyone Can Learn To Code",1,4
"13","App Academy",0.96,50
"14","Austin Coding Academy",1,2
"15","Base10 Academy",1,2
"16","Betamore",1,1
"17","Bitmaker Labs",0.444444444444444,9
"18","Bloc.io",0.611111111111111,18
"19","BoiseCodeWorks",1,1
"20","Boole Institute",1,1
"21","BrainStation",0.5,2
"22","Byte Academy",1,1
"23","Camp Code Away",1,2
"24","CareerFoundry",0.833333333333333,6
"25","Claim Academy",1,2
"26","Code 42",0.666666666666667,3
"27","Code Cloud",0,1
"28","Code Fellows",0.941176470588235,17
"29","Code Institute",0.833333333333333,6
"30","Code Platoon",1,1
"31","CodeaCamp",0.888888888888889,9
"32","Codecademy Labs",0.857142857142857,7
"33","CodeClan",1,5
"34","CodeCore Bootcamp",1,3
"35","Codemaster Institute",1,1
"36","CodeMasters Academy",1,3
"37","CodeNinja",0.857142857142857,7
"38","Coder Camps",0.625,8
"39","Coder Factory",0.75,4
"40","Coder Foundry",0.75,4
"41","Coder's Lab",1,5
"42","Codesmith",1,5
"43","codeU",0,1
"44","Codeup",0.5,2
"45","Coding Dojo",0.647058823529412,17
"46","Coding House",0.25,4
"47","Depot/U",0,1
"48","Desafio Latam",1,1
"49","Dev Academy",0.875,8
"50","Dev Bootcamp",0.548387096774194,31
"51","Dev League",0.8,5
"52","DevMountain",0.625,8
"53","DigitalCrafts",1,3
"54","Elevation Academy",1,1
"55","Eleven Fifty Academy",1,1
"56","Epicodus",0.789473684210526,19
"57","EpicU",1,2
"58","Fire Bootcamp",0,1
"59","Flatiron School",0.95,20
"60","Founders & Coders",1,3
"61","Fullstack Academy",0.866666666666667,15
"62","Gainesville Dev Academy",0.5,2
"63","Galvanize",0.916666666666667,12
"64","Geekskool",1,1
"65","Geekwise Academy",1,1
"66","General Assembly",0.844827586206897,58
"67","Grace Hopper Academy",1,4
"68","Grand Circus",0.9375,16
"69","Hack Reactor",0.846153846153846,26
"70","Hackbright Academy",0.866666666666667,30
"71","HackerYou",0.8,5
"72","Infinity Labs",1,1
"73","Inside Sales Bootcamp",1,1
"74","Institute of Code",1,1
"75","IronHack",0.836734693877551,49
"76","Israel Tech Challenge",1,1
"77","Jaaga",1,1
"78","Jademy",1,1
"79","Laboratoria",1,1
"80","LAMP Camp",0.333333333333333,3
"81","Launch Academy",1,3
"82","Launch School (formerly Tealeaf Academy)",1,1
"83","Le Wagon",0.857142857142857,7
"84","LEARN Academy",0.666666666666667,3
"85","Learn to Code London",1,1
"86","LearningFuze",0.75,4
"87","Level",0,1
"88","Lighthouse Labs",0.894736842105263,38
"89","Logit Academy",0.333333333333333,3
"90","Makers Academy",0.888888888888889,9
"91","MakerSquare",0.6,5
"92","Maricopa Corporate College",1,1
"93","Midwest Hacker School",1,1
"94","Mobile Makers Academy",1,2
"95","Montana Code School",0.75,4
"96","Nashville Software School",0.96,25
"97","New York Code + Design Academy",0.714285714285714,14
"98","Omaha Code School",1,3
"99","Operation Spark",1,2
"100","Orange County Code School",1,2
"101","Origin Code Academy",0.333333333333333,3
"102","PDX Code Guild",0,1
"103","Pen and Paper Coding",1,1
"104","Philly Dev Camp",1,1
"105","Prime Digital Academy",1,7
"106","Product School",1,1
"107","RefactorU",1,1
"108","Ruby On The Beach",0,2
"109","Rutgers Coding Bootcamp",1,8
"110","Sabio.la",0.666666666666667,6
"111","Science to Data Science",1,1
"112","Skill Distillery",0,1
"113","Skillcrush",0.875,8
"114","Software Guild",1,3
"115","Stackademy",0,1
"116","Star City Code School",1,2
"117","Starter League",1,1
"118","Startup Institute",0.333333333333333,3
"119","Tech Academy Portland",1,1
"120","Tech Career Booster",0,1
"121","Tech Elevator",1,5
"122","Tech Talent South",0.5,6
"123","Tel Aviv",1,1
"124","Telegraph Academy",0.833333333333333,6
"125","The Coding Boot Camp at UCLA Extension",0.857142857142857,7
"126","The Dev School",0.5,2
"127","The Firehose Project",0.818181818181818,11
"128","The Hacking School",1,2
"129","The Iron Yard",0.846153846153846,39
"130","Thinkful",0.6,15
"131","Turing",0.8,5
"132","TurnToTech",1,1
"133","University of Texas at Austin Coding Bootcamp",1,2
"134","V School",0.75,4
"135","Viking Code School",0.909090909090909,11
"136","We Can Code IT",0.818181818181818,11
"137","We Got Coders",1,2
"138","World Tech Makers",1,1
"139","Wyncode",1,11
"140","Zip Code Wilmington",1,1
